Species,AnimalID#,clutch,date eggs hatched,tank,stocking density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,1893,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,4.47,2500,,not applicable
Rcap-,1894,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,2.87,2500,,not applicable
Rcap-,1895,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,4.57,2500,,not applicable
Rcap-,1896,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.93,2500,,not applicable
Rcap-,1897,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,4.91,2500,,not applicable
Rcap-,1898,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.07,2500,,not applicable
Rcap-,1899,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.9,2500,,not applicable
Rcap-,1900,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,2.94,2500,,not applicable
Rcap-,1901,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.42,2500,,not applicable
Rcap-,2211,na,2/25/13,1,100,2013,3/7/13,6/17/13,102,4.96,2500,,not applicable
Rcap-,2212,na,2/25/13,1,100,2013,3/7/13,6/17/13,102,4.05,2500,,not applicable
Rcap-,2213,na,2/25/13,1,100,2013,3/7/13,6/17/13,102,4.31,2500,,not applicable
Rcap-,2214,na,2/25/13,1,100,2013,3/7/13,6/17/13,102,3.09,2500,,not applicable
Rcap-,2309,na,2/25/13,1,100,2013,3/7/13,6/19/13,104,3.32,2500,,not applicable
Rcap-,2334,na,2/25/13,1,100,2013,3/7/13,6/21/13,106,4.4,2500,,not applicable
Rcap-,2481,na,2/25/13,1,100,2013,3/7/13,6/26/13,111,4.34,2500,,not applicable
Rcap-,2482,na,2/25/13,1,100,2013,3/7/13,6/26/13,111,4.27,2500,,not applicable
Rcap-,2483,na,2/25/13,1,100,2013,3/7/13,6/26/13,111,3.67,2500,,not applicable
Rcap-,2518,na,2/25/13,1,100,2013,3/7/13,6/27/13,112,4.06,2500,,not applicable
Rcap-,2519,na,2/25/13,1,100,2013,3/7/13,6/27/13,112,5.01,2500,,not applicable
Rcap-,2541,na,2/25/13,1,100,2013,3/7/13,6/28/13,113,5.5,2500,,not applicable
Rcap-,2542,na,2/25/13,1,100,2013,3/7/13,6/28/13,113,4.26,2500,,not applicable
Rcap-,2543,na,2/25/13,1,100,2013,3/7/13,6/28/13,113,2.49,2500,,not applicable
Rcap-,2544,na,2/25/13,1,100,2013,3/7/13,6/28/13,113,4.63,2500,,not applicable
Rcap-,2553,na,2/25/13,1,100,2013,3/7/13,6/30/13,115,3.92,2500,,not applicable
Rcap-,2554,na,2/25/13,1,100,2013,3/7/13,6/30/13,115,4.84,2500,,not applicable
Rcap-,2555,na,2/25/13,1,100,2013,3/7/13,6/30/13,115,4.8,2500,,not applicable
Rcap-,2579,na,2/25/13,1,100,2013,3/7/13,7/2/13,117,5.64,2500,,not applicable
Rcap-,2580,na,2/25/13,1,100,2013,3/7/13,7/2/13,117,4.6,2500,,not applicable
Rcap-,2581,na,2/25/13,1,100,2013,3/7/13,7/2/13,117,5.55,2500,,not applicable
Rcap-,2582,na,2/25/13,1,100,2013,3/7/13,7/2/13,117,4.17,2500,,not applicable
Rcap-,2583,na,2/25/13,1,100,2013,3/7/13,7/2/13,117,4.11,2500,,not applicable
Rcap-,2584,na,2/25/13,1,100,2013,3/7/13,7/2/13,117,3.78,2500,,not applicable
Rcap-,2604,na,2/25/13,1,100,2013,3/7/13,7/4/13,119,5.1,2500,,not applicable
Rcap-,2605,na,2/25/13,1,100,2013,3/7/13,7/4/13,119,3.97,2500,,not applicable
Rcap-,2606,na,2/25/13,1,100,2013,3/7/13,7/4/13,119,4.1,2500,,not applicable
Rcap-,2607,na,2/25/13,1,100,2013,3/7/13,7/4/13,119,4.65,2500,,not applicable
Rcap-,2618,na,2/25/13,1,100,2013,3/7/13,7/5/13,120,6.53,2500,whooo! Monster frog!,not applicable
Rcap-,2652,na,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.57,2500,,not applicable
Rcap-,2653,na,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.43,2500,,not applicable
Rcap-,2654,na,2/25/13,1,100,2013,3/7/13,7/9/13,124,6.29,2500,,not applicable
Rcap-,2655,na,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.85,2500,,not applicable
Rcap-,2661,na,2/25/13,1,100,2013,3/7/13,7/11/13,126,4.2,2500,,not applicable
Rcap-,2671,na,2/25/13,1,100,2013,3/7/13,7/15/13,130,5.32,2500,,not applicable
Rcap-,2672,na,2/25/13,1,100,2013,3/7/13,7/15/13,130,6,2500,,not applicable
Rcap-,2708,na,2/25/13,1,100,2013,3/7/13,7/24/13,139,7.04,2500,,not applicable
Rcap-,1759,na,2/25/13,2,100,2013,3/7/13,6/4/13,89,4.312,2500,,not applicable
Rcap-,1760,na,2/25/13,2,100,2013,3/7/13,6/4/13,89,4.895,2500,,not applicable
Rcap-,1761,na,2/25/13,2,100,2013,3/7/13,6/5/13,90,4.571,2500,,not applicable
Rcap-,1762,na,2/25/13,2,100,2013,3/7/13,6/5/13,90,5.42,2500,,not applicable
Rcap-,1763,na,2/25/13,2,100,2013,3/7/13,6/5/13,90,4.499,2500,,not applicable
Rcap-,1765,na,2/25/13,2,100,2013,3/7/13,6/6/13,91,5.735,2500,,not applicable
Rcap-,1766,na,2/25/13,2,100,2013,3/7/13,6/6/13,91,4.375,2500,,not applicable
Rcap-,1767,na,2/25/13,2,100,2013,3/7/13,6/6/13,91,4.299,2500,,not applicable
Rcap-,1768,na,2/25/13,2,100,2013,3/7/13,6/6/13,91,4.922,2500,,not applicable
Rcap-,1770,na,2/25/13,2,100,2013,3/7/13,6/7/13,92,5.17,2500,,not applicable
Rcap-,1771,na,2/25/13,2,100,2013,3/7/13,6/7/13,92,4.307,2500,,not applicable
Rcap-,1772,na,2/25/13,2,100,2013,3/7/13,6/7/13,92,5.54,2500,,not applicable
Rcap-,1773,na,2/25/13,2,100,2013,3/7/13,6/7/13,92,4.73,2500,,not applicable
Rcap-,1779,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,3.77,2500,,not applicable
Rcap-,1780,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,3.995,2500,,not applicable
Rcap-,1781,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,5.018,2500,,not applicable
Rcap-,1782,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,4.939,2500,,not applicable
Rcap-,1783,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,4.392,2500,,not applicable
Rcap-,1784,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,3.704,2500,,not applicable
Rcap-,1785,na,2/25/13,2,100,2013,3/7/13,6/9/13,94,4.666,2500,,not applicable
Rcap-,1806,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,4.31,2500,,not applicable
Rcap-,1807,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,3.7,2500,,not applicable
Rcap-,1808,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,5.29,2500,,not applicable
Rcap-,1809,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,4.16,2500,,not applicable
Rcap-,1810,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,3.26,2500,,not applicable
Rcap-,1811,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,4.22,2500,,not applicable
Rcap-,1812,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,4.17,2500,,not applicable
Rcap-,1813,na,2/25/13,2,100,2013,3/7/13,6/11/13,96,3.61,2500,,not applicable
Rcap-,1902,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.41,2500,,not applicable
Rcap-,1903,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.59,2500,,not applicable
Rcap-,1904,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.2,2500,,not applicable
Rcap-,1905,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.16,2500,,not applicable
Rcap-,1906,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.36,2500,,not applicable
Rcap-,1907,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.02,2500,,not applicable
Rcap-,1908,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.29,2500,,not applicable
Rcap-,1909,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.05,2500,,not applicable
Rcap-,1910,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.65,2500,,not applicable
Rcap-,1911,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.15,2500,,not applicable
Rcap-,1912,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.47,2500,,not applicable
Rcap-,1913,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,4.05,2500,,not applicable
Rcap-,1914,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.44,2500,,not applicable
Rcap-,1915,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.34,2500,,not applicable
Rcap-,1916,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.57,2500,,not applicable
Rcap-,1917,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.14,2500,,not applicable
Rcap-,1918,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.16,2500,,not applicable
Rcap-,1919,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.64,2500,,not applicable
Rcap-,1920,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.6,2500,,not applicable
Rcap-,1921,na,2/25/13,2,100,2013,3/7/13,6/14/13,99,3.36,2500,,not applicable
Rcap-,2097,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,3.79,2500,,not applicable
Rcap-,2098,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,5.6,2500,,not applicable
Rcap-,2099,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,4.39,2500,,not applicable
Rcap-,2100,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,2.37,2500,,not applicable
Rcap-,2101,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,3.75,2500,,not applicable
Rcap-,2102,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,2.68,2500,,not applicable
Rcap-,2103,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,3.99,2500,,not applicable
Rcap-,2104,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,4.57,2500,,not applicable
Rcap-,2105,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,3.5,2500,,not applicable
Rcap-,2106,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,3.81,2500,,not applicable
Rcap-,2107,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,3.18,2500,,not applicable
Rcap-,2108,na,2/25/13,2,100,2013,3/7/13,6/16/13,101,2.82,2500,,not applicable
Rcap-,2222,na,2/25/13,2,100,2013,3/7/13,6/17/13,102,3.91,2500,,not applicable
Rcap-,2223,na,2/25/13,2,100,2013,3/7/13,6/17/13,102,4.45,2500,,not applicable
Rcap-,2224,na,2/25/13,2,100,2013,3/7/13,6/17/13,102,3.31,2500,,not applicable
Rcap-,2225,na,2/25/13,2,100,2013,3/7/13,6/17/13,102,3.71,2500,,not applicable
Rcap-,2226,na,2/25/13,2,100,2013,3/7/13,6/17/13,102,4.12,2500,,not applicable
Rcap-,2283,na,2/25/13,2,100,2013,3/7/13,6/18/13,103,3.33,2500,,not applicable
Rcap-,2284,na,2/25/13,2,100,2013,3/7/13,6/18/13,103,3.53,2500,,not applicable
Rcap-,2311,na,2/25/13,2,100,2013,3/7/13,6/19/13,104,3.58,2500,,not applicable
Rcap-,2403,na,2/25/13,2,100,2013,3/7/13,6/23/13,108,4.18,2500,,not applicable
Rcap-,2404,na,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.61,2500,,not applicable
Rcap-,2405,na,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.28,2500,,not applicable
Rcap-,2406,na,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.41,2500,,not applicable
Rcap-,2407,na,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.9,2500,,not applicable
Rcap-,2473,na,2/25/13,2,100,2013,3/7/13,6/24/13,109,4.15,2500,,not applicable
Rcap-,2474,na,2/25/13,2,100,2013,3/7/13,6/24/13,109,4.74,2500,,not applicable
Rcap-,2500,na,2/25/13,2,100,2013,3/7/13,6/26/13,111,3.22,2500,,not applicable
Rcap-,2527,na,2/25/13,2,100,2013,3/7/13,6/28/13,113,3.37,2500,,not applicable
Rcap-,2528,na,2/25/13,2,100,2013,3/7/13,6/28/13,113,4.14,2500,,not applicable
Rcap-,2529,na,2/25/13,2,100,2013,3/7/13,6/28/13,113,4.53,2500,,not applicable
Rcap-,2556,na,2/25/13,2,100,2013,3/7/13,6/30/13,115,3.74,2500,,not applicable
Rcap-,2557,na,2/25/13,2,100,2013,3/7/13,6/30/13,115,5.57,2500,,not applicable
Rcap-,2558,na,2/25/13,2,100,2013,3/7/13,6/30/13,115,4.05,2500,,not applicable
Rcap-,2559,na,2/25/13,2,100,2013,3/7/13,6/30/13,115,4.01,2500,,not applicable
Rcap-,2585,na,2/25/13,2,100,2013,3/7/13,7/2/13,117,5,2500,,not applicable
Rcap-,2586,na,2/25/13,2,100,2013,3/7/13,7/2/13,117,4.57,2500,,not applicable
Rcap-,2587,na,2/25/13,2,100,2013,3/7/13,7/2/13,117,4.76,2500,,not applicable
Rcap-,2608,na,2/25/13,2,100,2013,3/7/13,7/4/13,119,5.6,2500,,not applicable
Rcap-,2632,na,2/25/13,2,100,2013,3/7/13,7/7/13,122,4.75,2500,,not applicable
Rcap-,2656,na,2/25/13,2,100,2013,3/7/13,7/9/13,124,6.39,2500,,not applicable
Rcap-,2657,na,2/25/13,2,100,2013,3/7/13,7/9/13,124,5.64,2500,,not applicable
Rcap-,2667,na,2/25/13,2,100,2013,3/7/13,7/12/13,127,6.75,2500,,not applicable
Rcap-,2679,na,2/25/13,2,100,2013,3/7/13,7/15/13,130,5.94,2500,,not applicable
Rcap-,2683,na,2/25/13,2,100,2013,3/7/13,7/17/13,132,6.19,2500,,not applicable
Rcap-,2684,na,2/25/13,2,100,2013,3/7/13,7/17/13,132,6.03,2500,,not applicable
Rcap-,2685,na,2/25/13,2,100,2013,3/7/13,7/17/13,132,7.88,2500,,not applicable
Rcap-,2693,na,2/25/13,2,100,2013,3/7/13,7/19/13,134,6.98,2500,,not applicable
Rcap-,2694,na,2/25/13,2,100,2013,3/7/13,7/19/13,134,7.06,2500,,not applicable
Rcap-,1786,na,2/25/13,3,100,2013,3/7/13,6/9/13,94,3.497,2500,,not applicable
Rcap-,1814,na,2/25/13,3,100,2013,3/7/13,6/11/13,96,4.27,2500,,not applicable
Rcap-,1815,na,2/25/13,3,100,2013,3/7/13,6/11/13,96,4.83,2500,,not applicable
Rcap-,1816,na,2/25/13,3,100,2013,3/7/13,6/11/13,96,4.14,2500,,not applicable
Rcap-,1863,na,2/25/13,3,100,2013,3/7/13,6/12/13,97,3.77,2500,,not applicable
Rcap-,1864,na,2/25/13,3,100,2013,3/7/13,6/12/13,97,3.7,2500,,not applicable
Rcap-,1922,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.75,2500,,not applicable
Rcap-,1923,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,4.4,2500,,not applicable
Rcap-,1924,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.78,2500,,not applicable
Rcap-,1925,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.99,2500,,not applicable
Rcap-,1926,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,4.66,2500,,not applicable
Rcap-,1927,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.84,2500,,not applicable
Rcap-,1928,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,4.05,2500,,not applicable
Rcap-,1929,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.89,2500,,not applicable
Rcap-,1930,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,4.42,2500,,not applicable
Rcap-,1931,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,4.11,2500,,not applicable
Rcap-,1932,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.39,2500,,not applicable
Rcap-,1933,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.94,2500,,not applicable
Rcap-,1934,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.92,2500,,not applicable
Rcap-,1935,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,4.74,2500,,not applicable
Rcap-,1936,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.5,2500,,not applicable
Rcap-,1937,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,2.92,2500,,not applicable
Rcap-,1938,na,2/25/13,3,100,2013,3/7/13,6/14/13,99,3.21,2500,,not applicable
Rcap-,2109,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.42,2500,,not applicable
Rcap-,2110,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.54,2500,,not applicable
Rcap-,2111,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.66,2500,,not applicable
Rcap-,2112,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.35,2500,,not applicable
Rcap-,2113,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.96,2500,,not applicable
Rcap-,2114,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,4.47,2500,,not applicable
Rcap-,2115,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.61,2500,,not applicable
Rcap-,2116,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,2.63,2500,,not applicable
Rcap-,2117,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.58,2500,,not applicable
Rcap-,2118,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,2.86,2500,,not applicable
Rcap-,2119,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,4.25,2500,,not applicable
Rcap-,2120,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.62,2500,,not applicable
Rcap-,2121,na,2/25/13,3,100,2013,3/7/13,6/16/13,101,3.34,2500,,not applicable
Rcap-,2236,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,2.45,2500,,not applicable
Rcap-,2237,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,3.14,2500,,not applicable
Rcap-,2238,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,3.06,2500,,not applicable
Rcap-,2239,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,2.9,2500,,not applicable
Rcap-,2240,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,3.89,2500,,not applicable
Rcap-,2241,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,3.32,2500,,not applicable
Rcap-,2242,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,3.07,2500,,not applicable
Rcap-,2243,na,2/25/13,3,100,2013,3/7/13,6/18/13,103,3.04,2500,,not applicable
Rcap-,2344,na,2/25/13,3,100,2013,3/7/13,6/21/13,106,4.99,2500,,not applicable
Rcap-,2345,na,2/25/13,3,100,2013,3/7/13,6/21/13,106,2.92,2500,,not applicable
Rcap-,2346,na,2/25/13,3,100,2013,3/7/13,6/21/13,106,3.19,2500,,not applicable
Rcap-,2347,na,2/25/13,3,100,2013,3/7/13,6/21/13,106,2.87,2500,,not applicable
Rcap-,2348,na,2/25/13,3,100,2013,3/7/13,6/21/13,106,3.6,2500,,not applicable
Rcap-,2349,na,2/25/13,3,100,2013,3/7/13,6/21/13,106,3.31,2500,,not applicable
Rcap-,2408,na,2/25/13,3,100,2013,3/7/13,6/23/13,108,3.24,2500,,not applicable
Rcap-,2409,na,2/25/13,3,100,2013,3/7/13,6/23/13,108,2.81,2500,,not applicable
Rcap-,2410,na,2/25/13,3,100,2013,3/7/13,6/23/13,108,4.05,2500,,not applicable
Rcap-,2411,na,2/25/13,3,100,2013,3/7/13,6/23/13,108,2.75,2500,,not applicable
Rcap-,2412,na,2/25/13,3,100,2013,3/7/13,6/23/13,108,3.13,2500,,not applicable
Rcap-,2413,na,2/25/13,3,100,2013,3/7/13,6/23/13,108,3.92,2500,,not applicable
Rcap-,2475,na,2/25/13,3,100,2013,3/7/13,6/24/13,109,2.91,2500,,not applicable
Rcap-,2476,na,2/25/13,3,100,2013,3/7/13,6/24/13,109,3.45,2500,,not applicable
Rcap-,2502,na,2/25/13,3,100,2013,3/7/13,6/24/13,109,3.07,2500,,not applicable
Rcap-,2525,na,2/25/13,3,100,2013,3/7/13,6/28/13,113,3.06,2500,tail nub,not applicable
Rcap-,2526,na,2/25/13,3,100,2013,3/7/13,6/28/13,113,3.53,2500,,not applicable
Rcap-,2547,na,2/25/13,3,100,2013,3/7/13,6/29/13,114,3.64,2500,,not applicable
Rcap-,2548,na,2/25/13,3,100,2013,3/7/13,6/29/13,114,3.43,2500,,not applicable
Rcap-,2560,na,2/25/13,3,100,2013,3/7/13,6/30/13,115,3.5,2500,,not applicable
Rcap-,2561,na,2/25/13,3,100,2013,3/7/13,6/30/13,115,2.61,2500,,not applicable
Rcap-,2562,na,2/25/13,3,100,2013,3/7/13,6/30/13,115,2.54,2500,,not applicable
Rcap-,2563,na,2/25/13,3,100,2013,3/7/13,6/30/13,115,3.7,2500,,not applicable
Rcap-,2564,na,2/25/13,3,100,2013,3/7/13,6/30/13,115,3.24,2500,,not applicable
Rcap-,2588,na,2/25/13,3,100,2013,3/7/13,7/2/13,117,3.95,2500,,not applicable
Rcap-,2589,na,2/25/13,3,100,2013,3/7/13,7/2/13,117,3.52,2500,,not applicable
Rcap-,2590,na,2/25/13,3,100,2013,3/7/13,7/2/13,117,3.88,2500,,not applicable
Rcap-,2609,na,2/25/13,3,100,2013,3/7/13,7/4/13,119,4.03,2500,,not applicable
Rcap-,2610,na,2/25/13,3,100,2013,3/7/13,7/4/13,119,4.04,2500,,not applicable
Rcap-,2658,na,2/25/13,3,100,2013,3/7/13,7/9/13,124,4.3,2500,,not applicable
Rcap-,2659,na,2/25/13,3,100,2013,3/7/13,7/9/13,124,4.17,2500,,not applicable
Rcap-,2668,na,2/25/13,3,100,2013,3/7/13,7/12/13,127,3.56,2500,,not applicable
Rcap-,2669,na,2/25/13,3,100,2013,3/7/13,7/12/13,127,4.15,2500,,not applicable
Rcap-,2681,na,2/25/13,3,100,2013,3/7/13,7/15/13,130,4.73,2500,,not applicable
Rcap-,2686,na,2/25/13,3,100,2013,3/7/13,7/17/13,132,5.43,2500,,not applicable
Rcap-,2692,na,2/25/13,3,100,2013,3/7/13,7/19/13,134,5.78,2500,,not applicable
Rcap-,2695,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,4.24,2500,,not applicable
Rcap-,2696,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.76,2500,,not applicable
Rcap-,2697,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,6.24,2500,,not applicable
Rcap-,2698,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.64,2500,,not applicable
Rcap-,2699,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.14,2500,,not applicable
Rcap-,2700,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.36,2500,,not applicable
Rcap-,2701,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.54,2500,,not applicable
Rcap-,2702,na,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.15,2500,,not applicable
Rcap-,2709,na,2/25/13,3,100,2013,3/7/13,7/24/13,139,8.51,2500,,not applicable
Rcap-,2711,na,2/25/13,3,100,2013,3/7/13,7/29/13,144,5.96,2500,,not applicable
Rcap-,2712,na,2/25/13,3,100,2013,3/7/13,7/29/13,144,7.74,2500,,not applicable
Rcap-,2715,na,2/25/13,3,100,2013,3/7/13,8/1/13,147,7.04,2500,,not applicable
Rcap-,2716,na,2/25/13,3,100,2013,3/7/13,8/4/13,150,8.55,2500,,not applicable
Rcap-,2717,na,2/25/13,3,100,2013,3/7/13,8/4/13,150,8.6,2500,,not applicable
Rcap-,1774,na,2/25/13,4,100,2013,3/7/13,6/7/13,92,3.942,2500,,not applicable
Rcap-,1787,na,2/25/13,4,100,2013,3/7/13,6/9/13,94,4.684,2500,,not applicable
Rcap-,1788,na,2/25/13,4,100,2013,3/7/13,6/9/13,94,3.833,2500,,not applicable
Rcap-,1789,na,2/25/13,4,100,2013,3/7/13,6/9/13,94,4.528,2500,,not applicable
Rcap-,1790,na,2/25/13,4,100,2013,3/7/13,6/9/13,94,3.714,2500,,not applicable
Rcap-,1817,na,2/25/13,4,100,2013,3/7/13,6/11/13,96,4.14,2500,,not applicable
Rcap-,1818,na,2/25/13,4,100,2013,3/7/13,6/11/13,96,3.35,2500,,not applicable
Rcap-,1819,na,2/25/13,4,100,2013,3/7/13,6/11/13,96,3.48,2500,,not applicable
Rcap-,1820,na,2/25/13,4,100,2013,3/7/13,6/11/13,96,4.32,2500,,not applicable
Rcap-,1821,na,2/25/13,4,100,2013,3/7/13,6/11/13,96,3.41,2500,,not applicable
Rcap-,1939,na,2/25/13,4,100,2013,3/7/13,6/14/13,99,4.29,2500,,not applicable
